game_date,current_org,current_team,player,swings,VSA,SBA,BatSpeed,AttackAngle,ContactAngle,SwM_Perc,IZ_SwM_Perc,FB_SwM_Perc,BB_SwM_Perc
4/16/2024,San Francisco Giants,San Francisco,"Ahmed, Nick",9,-29.49,-18.63,58.47,6.02,14.19,14.29,0,0,0
4/16/2024,San Francisco Giants,San Jose,"Ahuna, Walter",7,-44.23,-7.87,68.56,0.13,0.36,14.29,16.67,0,50
4/16/2024,San Francisco Giants,San Francisco,"Bailey, Patrick",3,-29.86,-6.94,67.11,-4.44,-8.82,0,0,0,
4/16/2024,San Francisco Giants,Richmond,"Bericoto, Victor",12,-33.07,-11.03,72.41,4.65,9.8,16.67,11.11,28.57,0
4/16/2024,San Francisco Giants,Richmond,"Bishop, Hunter",8,-25.21,-8.77,80.44,9.82,24.63,50,33.33,33.33,100
4/16/2024,San Francisco Giants,Richmond,"Brown, Vaun",7,-16.89,-34.58,47.55,-5.55,-3.8,60,66.67,66.67,0
4/16/2024,San Francisco Giants,San Francisco,"Chapman, Matt",5,-29.03,-3.99,65.96,-3.1,-2.92,0,0,0,0
4/16/2024,San Francisco Giants,San Francisco,"Conforto, Michael",6,-28.84,-17.94,71.31,12.8,28.94,50,25,0,66.67
4/16/2024,San Francisco Giants,San Jose,"Cox, Jonah",8,-35.47,-11.59,57.73,-0.29,-0.19,14.29,0,0,20
4/16/2024,San Francisco Giants,San Jose,"Davidson, Chanteyon",5,-37.82,-15.83,69.29,11.51,18.82,20,0,0,33.33
4/16/2024,San Francisco Giants,San Francisco,"Estrada, Thairo",2,-27.52,-7.5,65.97,3.4,8.45,50,,100,0
4/16/2024,San Francisco Giants,San Francisco,"Fitzgerald, Tyler",10,-40.47,-10.85,64.99,8.58,17.81,44.44,44.44,0,25
4/16/2024,San Francisco Giants,San Francisco,"Flores, Wilmer",8,-30.74,-6.55,60.83,2.54,4.92,0,0,0,0
