player,VSA,SBA,SwM,FB_SwM,BB_SwM,IZ_SwM,swings,IZ_swings,IZ swings/miss
"Abrams Jr., CJ",-28.0,-17.9,0.18,0.12,0.25,0.11,940,554,62
"Abreu, Jose",-32.3,-11.3,0.24,0.18,0.33,0.14,910,510,72
"Abreu, Wilyer",-36.4,-14.8,0.31,0.33,0.29,0.27,134,90,24
"Acuna, Ronald",-35.1,-17.7,0.15,0.11,0.21,0.11,1026,709,76
"Adames, Willy",-34.7,-19.9,0.29,0.20,0.37,0.17,1026,636,110
"Adams, Jordyn",-33.0,-23.8,0.30,0.29,0.30,0.20,83,56,11
"Adams, Riley",-36.5,-7.5,0.26,0.19,0.34,0.14,261,175,24
"Adell, Jo",-32.3,-7.2,0.34,0.27,0.46,0.18,109,71,13
"Aguilar, Jesus",-34.0,-10.3,0.21,0.04,0.24,0.15,78,52,8
"Alberto, Hanser",-33.9,-16.8,0.19,0.18,0.23,0.12,147,86,10
"Albies, Ozzie",-34.8,-16.6,0.17,0.17,0.22,0.10,1089,690,66
"Alfaro, Jorge",-34.4,-10.0,0.30,0.15,0.40,0.04,101,57,2
"Allen, Greg",-29.6,-19.9,0.26,0.05,0.75,0.24,47,29,7
"Allen, Nick",-26.6,-8.9,0.18,0.12,0.28,0.10,522,366,35
"Almonte, Abraham",-34.0,-12.2,0.35,0.20,0.38,0.14,39,21,3
"Alonso, Pete",-30.0,-17.4,0.23,0.12,0.34,0.14,929,580,84
"Altuve, Jose",-32.7,-24.4,0.17,0.12,0.24,0.10,651,375,38
"Alu, Jake",-35.7,-9.9,0.22,0.14,0.34,0.12,289,170,21
"Alvarez, Francisco",-28.8,-14.7,0.28,0.22,0.35,0.19,630,410,77
"Alvarez, Yordan",-35.2,-4.8,0.20,0.16,0.28,0.12,601,384,46
"Amaya, Miguel",-27.9,-16.8,0.24,0.13,0.37,0.13,257,170,22
"Anderson, Brian",-33.1,-25.0,0.30,0.25,0.31,0.20,514,327,65
"Anderson, Tim",-41.1,-14.5,0.23,0.19,0.26,0.14,841,503,72
"Andrus, Elvis",-28.3,-16.2,0.17,0.09,0.24,0.08,531,319,27
"Andujar, Miguel",-25.2,-8.6,0.19,0.03,0.38,0.11,138,70,8
"Aranda, Jonathan",-35.1,-21.3,0.26,0.30,0.28,0.23,176,107,25
"Arauz, Jonathan",-28.0,-1.8,0.26,0.17,0.28,0.19,128,69,13
"Arcia, Orlando",-26.0,-15.0,0.23,0.17,0.31,0.15,851,524,81
"Arenado, Nolan",-34.3,-14.7,0.18,0.08,0.26,0.07,912,548,41
"Arias, Gabriel",-27.8,-17.9,0.36,0.33,0.41,0.23,572,357,83
"Arozarena, Randy",-24.8,-28.2,0.26,0.25,0.27,0.21,904,546,114
"Arraez, Luis",-38.9,-13.9,0.06,0.05,0.11,0.05,895,615,30
"Arroyo, Christian",-36.8,-10.6,0.20,0.14,0.33,0.11,289,172,19
"Azocar, Jose",-36.0,-6.8,0.23,0.24,0.25,0.18,132,72,13
"Baddoo, Akil",-31.4,-14.8,0.23,0.17,0.31,0.11,516,333,35
"Bader, Harrison",-25.0,-13.8,0.24,0.09,0.36,0.10,567,354,37
"Bae, Ji Hwan",-30.2,-10.6,0.21,0.15,0.34,0.16,525,362,57
"Baez, Javier",-28.7,-20.1,0.30,0.26,0.38,0.19,773,422,79
"Baker, Luken",-30.2,-14.0,0.31,0.24,0.41,0.21,188,109,23
"Barnes, Austin",-26.7,-18.9,0.18,0.13,0.27,0.12,256,192,23
"Barnhart, Tucker",-31.0,-15.7,0.21,0.18,0.25,0.08,185,119,10
"Basabe, Osleivis",-24.3,-13.2,0.23,0.20,0.27,0.16,182,119,19
"Batten, Matthew",-21.8,-5.6,0.20,0.18,0.29,0.11,175,96,11
"Baty, Brett",-38.1,-15.9,0.30,0.21,0.45,0.17,592,353,61
"Bauers, Jake",-36.1,-16.0,0.32,0.27,0.39,0.20,479,302,61
"Beaty, Matt",-28.9,-8.2,0.19,0.09,0.31,0.06,127,78,5
"Bell, Josh",-33.3,-17.0,0.21,0.14,0.24,0.13,903,575,73
"Bellinger, Cody",-32.2,-20.1,0.18,0.16,0.22,0.12,849,506,59
"Belt, Brandon",-46.6,-19.5,0.29,0.30,0.35,0.23,598,439,100
"Benintendi, Andrew",-35.9,-18.3,0.16,0.15,0.22,0.13,878,589,74
"Benson, Will",-35.2,-17.5,0.29,0.23,0.35,0.20,523,352,69
"Berti, Jon",-27.7,-8.5,0.17,0.12,0.23,0.09,588,419,37
"Bethancourt, Christian",-27.2,-20.3,0.34,0.27,0.40,0.20,530,284,58
"Betts, Mookie",-35.0,-13.9,0.14,0.08,0.20,0.05,867,622,34
"Bichette, Bo",-38.8,-7.0,0.18,0.12,0.27,0.10,947,587,59
"Biggio, Cavan",-38.0,-10.5,0.20,0.11,0.33,0.10,471,344,34
"Blackmon, Charlie",-33.1,-9.5,0.15,0.08,0.25,0.08,505,306,24
"Blanco Lamadrid, Dairon",-32.6,-13.6,0.23,0.25,0.27,0.14,206,138,19
"Blankenhorn, Travis",-27.7,-22.9,0.27,0.10,0.38,0.19,64,31,6
"Bleday, JJ",-35.4,-16.3,0.24,0.22,0.24,0.16,511,374,61
"Bogaerts, Xander",-32.2,-12.2,0.19,0.14,0.24,0.11,916,583,65
"Bohm, Alec",-31.2,-16.4,0.16,0.11,0.20,0.11,889,600,63
"Bouchard, Sean",-38.4,-18.7,0.38,0.14,0.46,0.15,49,27,4
"Bradley, Jackie",-25.1,-32.3,0.33,0.20,0.41,0.21,155,92,19
