player,swings,VSA,SBA,BatSpeed,AttackAngle,ContactAngle,SwM_Perc,IZ_SwM_Perc,FB_SwM_Perc,BB_SwM_Perc
"Ahmed, Nick",301,-25.56,-14.07,65.07,6.56,17.64,24.22,17.89,19.4,28
"Alexander, Jesus",80,-27.5,-23.32,66.48,6.39,21.1,35.14,33.33,32.26,71.43
"Arias, Rayner",102,-32.51,-8.48,66.92,5.57,16.49,20.62,15.94,12.82,53.85
"Arosemena, Erick",142,-39.73,-12.85,64.64,7.52,19.38,26.47,18.75,21.15,40.91
"Arteaga, Aeverson",62,-29.64,-9.83,69.6,3.51,12.13,18.97,0,7.89,20
"Astudillo, Jose",63,-27.9,-11.34,68.12,4.21,15.94,8.47,2.86,5.13,18.75
"Auerbach, Brett",308,-23.67,-10.66,65.84,2.87,9.48,27.89,18.42,25.64,31.25
"Bailey, Patrick",927,-32.51,-9.76,66.27,5.06,10.58,23.93,14.85,20.25,30.74
"Bandura, Scott",123,-34.83,-5.1,61.97,-2.85,-5.69,22.52,19.74,27.78,23.81
"Bench, Justin",105,-27.7,-11.69,66.45,3.19,11,21.88,14.71,20,24.24
"Bericoto, Victor",351,-31.34,-11.21,68.8,3.93,12.67,30.54,25,27.71,31.86
"Blanco, Miguel",170,-31.63,-11.93,65.15,2.74,11.08,22.42,9,16.04,34.38
"Brizuela, Soyger",89,-27.77,-16.46,65.53,6.46,24.33,30.59,17.24,24.64,44.44
"Brooks, Trenton",333,-34.68,-12.39,65.13,6.75,17.15,19.11,10.96,13.46,29.23
"Brown, Vaun",540,-34.35,-13.19,67.48,8.67,18.06,41.57,26.14,36.48,51.98
"Caldera, Nehomar",119,-35,-17.36,64.12,9.94,23.69,24.56,16.22,22.34,21.43
"Camacaro, Keiberg",193,-34.65,-15.21,67.65,4.58,17.23,30.05,20.83,28.44,32.31
"Cassiani, Estanlin",251,-26.3,-4.44,63.84,-3.17,-0.1,24.69,16.78,22.52,41.18
"Castillo, Javier",132,-34.5,-11.76,64.81,-1.66,8.51,26.02,16.28,29.03,21.74
"Cavanaugh, Drew",54,-43.24,-18.43,64.53,7.84,14.32,29.17,20,28.57,37.5
"Chapman, Matt",937,-26.99,-14.32,69.55,5.52,14.67,28.08,22.58,25.2,35.62
"Concepcion, Carlos",185,-30.32,-10.49,68.82,4.02,14.24,25.58,14.29,20.16,43.24
"Conforto, Michael",856,-29.55,-18.01,70.04,8.94,18.6,22.37,13.73,16.67,27.93
"Cox, Jonah",64,-33.36,-10.01,65.16,3.46,4.45,31.67,15.63,17.86,50
"Davidson, Chanteyon",64,-32.49,-23.42,71.66,1.24,11.62,32.26,28,32.65,0
"De La Rosa, Moises",153,-29.88,-3.98,66.82,0.58,5.34,17.93,7.84,13.76,31.03
"Diaz, Lisbel",69,-18.08,-21.68,69.49,6.18,28.01,16.95,9.3,13.89,18.75
"Diaz, Nomar",82,-34.41,-16,66.21,10.08,24.52,40,30.36,32.65,50
"Diaz, Yusniel",24,-33.93,-14.38,69.17,3.87,8.14,30.43,31.58,40,0
"Dues, Damon",60,-40.44,0.58,64.79,-8.01,-9.3,22.41,14.29,28.95,0
"Dupere, Jared",33,-31.24,-8.18,70.71,2.31,15.82,41.94,35.29,28.57,38.46
"Eldridge, Bryson",127,-36.18,-13.77,67.65,3.37,16.38,29.06,25.58,25,27.27
"Estrada, Thairo",1038,-31.01,-5.5,65.19,3.8,9.69,20.88,9.35,11.35,35.47
"Fitzgerald, Tyler",823,-33.02,-6.57,67.64,6.72,15.94,29.67,19.96,17.37,41.06
"Flores, Wilmer",865,-31.48,-9.45,63.95,7.8,16.43,15.52,9.89,9.01,23.87
"Forner, Tyler",26,-27.11,-18.16,63.96,3.25,10.67,61.54,55,58.82,50
"Foster, Cole",161,-31.64,-0.66,67.64,3.97,7.93,32.41,17.89,26.56,34.48
"Francisco, Javier",177,-26.8,-7.66,63.9,2.82,14.38,21.52,11.21,12.15,43.59
"Frechette, Garrett",239,-36.55,-3.67,69.23,3.01,10.2,25.48,15.63,22.31,31.03
"Frias, Luis",214,-27.73,-14.24,60.32,2.56,15.23,30.9,18.64,21.6,48.65
"Gavello, Thomas",198,-34.46,-14.6,65.6,11.95,22.73,35.16,18.6,20.39,50
"Glowenke, Jimmy",512,-27.37,-17.4,62.91,7.47,18.3,29.25,18.48,21.65,38.73
"Gonzalez, Anyelo",147,-27.22,-9.48,60.37,-0.37,6.88,19.71,18.6,16.84,28.57
"Gonzalez, Cesar",136,-30.22,-13.3,66.79,1.53,14.33,34.15,26.83,29.63,41.67
"Gonzalez, Diego",121,-32.21,-8.59,64.75,0.53,10.33,28.45,14.08,22.09,47.62
"Gutierrez, Carlos",29,-38.36,-19.16,47.98,-2.48,43.71,13.64,17.65,16.67,0
"Guzman, Angel",191,-21.76,-22.35,65.4,9.5,28.11,27.06,16.24,21.97,55.56
"Hanchey, Ty",27,-28.65,4.3,65.2,0.26,13.05,12.5,0,11.11,0
"Higgins, Matt",282,-38.31,-3.17,68.65,5.18,10,20.25,9.25,8.77,34.15
"Hill, Turner",310,-29.97,-2.08,61.72,-2.14,0.95,12.01,5.42,6.32,22.64
"Howell, Carter",200,-30.91,-6.33,66.13,2.88,8.02,23.46,14.68,16.84,26.83
"Kachel, Andrew",281,-28.8,-10.33,66.52,2.85,11.15,23.46,15.38,17.02,31.34
"Koss, Christian",308,-25.21,-12.1,66.61,2.4,8.13,28.82,25.29,32.84,26.47
"Ladera, Oswaldo",186,-31.93,-18.48,68.88,7.87,25.57,35.88,23.81,30.28,42.55
"Laya, Derwin",207,-28.06,-18.17,68.73,0.67,12.4,23.71,15.75,18.6,29.79
"Lewis, Nadir",52,-32.58,-8.85,77.24,4.21,24.59,33.33,33.33,38.71,30.77
"Luciano, Marco",684,-31.19,-10,68.57,5.62,12.17,33.8,23.82,23.11,41.13
"Maduro, Jediael",101,-35.95,-7.43,66.43,-2.39,3.71,24.24,16.67,16.67,26.92
"Martorano, Brandon",456,-36.45,-16.68,67.04,7.05,14.56,33.33,21.72,22.63,41.72
"Matos, Luis",795,-23.53,0.25,67.49,-0.72,0.44,14.62,8.16,11.85,18.75
"McCray, Grant",26,-35.64,-21.02,66.19,3.28,5.37,40.91,31.25,50,0
"McDaniel, Quinn",91,-30.59,-17.01,66.1,4.21,12.66,34.94,28.81,36.21,29.41
"McIntyre, Donovan",170,-29.05,-17.53,63.79,2.34,8.17,45.27,34.02,36.84,60.61
"Meckler, Wade",521,-42.91,-4.67,64.34,5.77,12.34,20.49,9.83,6.52,36.07
"Morales, Lazaro",175,-28.87,-21.82,62,9.63,26.32,43.4,26.67,46.6,36.17
"Morgan, Zach",157,-28.15,-3.16,62.74,-0.36,7.43,15.83,6.54,13.43,12.96
"Munguia, Ismael",553,-22.18,-8.36,62.74,0.99,6.9,15.11,8.26,12.91,18.8
"Murphy, Tom",258,-34.92,-10.34,67.2,7.58,14.4,27.87,19.54,23.58,33.33
"O'Tremba, Tanner",285,-30.02,-10.14,65.03,3.8,7.84,27.48,21.26,19.86,38.14
"Ortiz Rivera, José",21,-29.8,-22.15,67.92,3.19,20.16,30,30.77,33.33,16.67
"Payton, Jack",65,-38.35,-15.34,67.78,7.5,18.02,31.25,30.61,31.91,12.5
"Peralta, Ramon",209,-29,-18.54,67.24,4.65,17.15,32.18,26.19,27.27,43.48
"Perez, Juan",111,-26.82,-0.66,66.81,-3.65,0.99,32.08,13.85,17.86,47.62
